year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,0,0,0,0,0,54,15,29,10,3297
2014,2,0,0,1,1,55,10,36,9,3366
2015,4,0,0,2,2,89,28,47,14,3430
2016,2,0,0,0,2,108,23,69,16,3792
2017,4,0,0,2,2,30,7,11,12,3803
