year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,42,0,6,10,26,599,108,395,96,16099
2014,21,0,1,6,14,457,74,329,54,16105
2015,26,2,3,9,12,404,59,301,44,16198
2016,23,1,2,6,14,443,63,322,58,16387
2017,49,1,8,14,26,353,48,253,52,16480
