year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,22,0,1,1,20,135,18,84,33,5123
2014,8,0,1,2,5,120,27,66,27,5059
2015,28,0,3,6,19,228,61,117,50,5050
2016,12,0,1,4,7,182,30,94,58,5067
2017,5,0,0,2,3,145,37,54,54,5073
