year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,11,2,1,2,6,404,47,325,32,6059
2014,20,0,1,2,17,504,45,426,33,6010
2015,13,1,3,3,6,641,59,541,41,6022
2016,22,1,3,12,6,717,45,635,37,6031
2017,22,0,1,12,9,670,54,577,39,6104
