year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,38,1,3,8,26,420,60,244,116,9029
2014,22,1,0,10,11,362,89,187,86,9024
2015,39,3,5,21,10,427,91,265,71,9001
2016,34,0,5,12,17,486,97,307,82,8997
2017,29,3,2,10,14,373,87,216,70,8974
