year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,19,0,10,3,6,251,88,136,27,11048
2014,14,1,2,2,9,246,78,151,17,11172
2015,15,1,2,3,9,203,60,124,19,11201
2016,17,0,4,1,12,235,38,169,28,11230
2017,21,0,0,0,21,173,35,110,28,11203
