year,violent,homicide,rape,robbery,agassault,property,burglary,larceny,gta,pop
2013,473,9,39,144,281,4692,1196,2902,594,93589
2014,410,2,40,116,252,4632,1088,2821,723,93667
2015,519,7,53,127,332,5109,1307,3125,677,93789
2016,499,13,49,126,311,4949,1146,3166,637,94111
2017,593,13,70,150,360,4306,901,2841,564,94375
